country,year,gdp_per_capita,life_expectancy,infant_mortality,health_spending,smoking_rate,birth_rate
RUS,2018,11211.8876953125,72.6621951219512,5.1,606.11401367,,10.9
RUS,2019,11447.701171875,73.0839024390244,4.7,650.47058105,,10.1
RUS,2020,10108.3271484375,71.3387804878049,4.4,814.94451904,29.4,9.8
RUS,2021,12425.029296875,69.900243902439,4.1,881.75720215,29.3,9.6
RUS,2022,15619.6142578125,72.5456097560976,3.9,1078.23486328,29.2,8.9
RUS,2023,14159.3876953125,73.2546341463415,3.7,,,8.6
RWA,1990,345.773495134655,47.763,86.4,,,44.074
RWA,1991,253.966902025944,46.243,91.6,,,42.785
RWA,1992,264.083914517464,44.397,100.4,,,42.245
RWA,1993,247.023318476014,42.937,110.7,,,41.542
RWA,1994,110.953668251372,12.158,212.2,,,48.038
RWA,1995,227.971147849318,41.518,125.7,,,39.517
RWA,1996,206.04911417485,42.486,128.0,,,37.219
RWA,1997,238.749371368214,41.978,128.0,,,40.51
RWA,1998,246.154673288384,43.099,124.3,,,42.159
RWA,1999,264.74368682977,45.749,117.2,,,42.14
RWA,2000,251.86926386091,47.798,107.9,9.00399399,24.4,42.112
RWA,2001,237.308846200901,49.49,98.0,7.86746025,,42.113
RWA,2002,234.043016755733,51.262,88.3,7.32393837,,41.784
RWA,2003,249.012274982252,53.529,79.5,17.25927353,,41.402
RWA,2004,269.540446333402,55.52,71.1,20.23413277,,41.145
RWA,2005,324.016863847189,56.968,63.9,25.02086639,21.2,40.638
RWA,2006,356.995022901154,58.342,57.9,27.15680885,,39.861
RWA,2007,426.234183487629,59.504,53.0,33.50766754,20.1,38.833
RWA,2008,528.326391755502,60.641,48.8,39.94607162,,37.643
RWA,2009,564.039095842449,61.813,45.4,43.99682617,,36.315
RWA,2010,593.624927744346,62.804,42.2,47.96915817,18.6,35.149
RWA,2011,651.133677964662,63.476,39.0,51.64990616,,33.8
RWA,2012,706.8172686891,64.189,37.2,57.26454163,,32.852
RWA,2013,704.92421796616,64.651,35.7,47.7545433,,32.409
RWA,2014,724.957526109262,65.088,34.6,50.63998795,,32.24
RWA,2015,733.998630392314,65.419,33.7,48.81341934,16.6,32.098
RWA,2016,729.519134044611,65.733,33.1,50.77831268,,31.971
RWA,2017,758.300966737624,66.14,32.6,48.27599335,,31.666
RWA,2018,771.773511057901,66.354,32.2,51.35319138,,31.231
RWA,2019,810.051412137354,66.691,31.8,50.75216675,,30.672
RWA,2020,778.701498787411,66.953,31.5,58.29339218,14.9,30.021
RWA,2021,829.544845639777,66.85,31.1,60.46223831,14.6,29.389
RWA,2022,975.469323979541,67.528,30.8,76.83828735,14.3,28.859
RWA,2023,1027.03446804432,67.785,30.5,,,28.348
SAS,1990,359.953973128088,58.406615379707,89.9,,,32.7704567724762
SAS,1991,303.81805683771,58.5496193401874,87.8,,,32.1281115347066
SAS,1992,315.53713133931,59.2393230868812,85.8,,,31.4664682601446
SAS,1993,302.994994507191,59.6399172274896,83.9,,,30.8096222681383
SAS,1994,342.723111684397,60.0784359785787,82.0,,,30.3593238612978
SAS,1995,370.570693920918,60.4870544448028,80.0,,,29.8171906898639
SAS,1996,400.095114023545,60.9188482954284,77.9,,,29.2686571849394
SAS,1997,415.002724170031,61.3682134088457,75.8,,,28.8089234736307
SAS,1998,413.705057995129,61.8215419198501,73.7,,,28.341376840686
SAS,1999,437.936253847545,62.2946275399582,71.5,,,27.8871405111227
SAS,2000,440.253667577913,62.8036305165364,69.3,17.5952509504928,55.7393464239759,27.6664748563005
SAS,2001,446.418919348871,63.2621106390743,67.2,18.6610216987411,,27.3386728544524
SAS,2002,462.898836496672,63.7751981046195,65.1,19.1463941065192,,26.6774518771716
SAS,2003,532.66154684429,64.2408303344517,63.2,20.7401925548584,,25.9274407928793
SAS,2004,606.478041696258,64.5911610689622,61.4,23.6062832132497,,25.2577252732579
SAS,2005,686.338193475473,65.131596636791,59.6,25.9963521416384,46.8286855101711,24.4352771431655
SAS,2006,769.387768077456,65.5691020177667,57.9,27.8197395950161,,23.6989133900521
SAS,2007,967.697911561283,65.9890229742236,56.1,33.6163714653392,43.4357037147412,23.0668436153754
SAS,2008,958.275511460297,66.4314116387286,54.4,35.8991784899837,,22.5902318467548
SAS,2009,1054.43555885745,66.84109704634,52.6,36.6066043494591,,22.2277347779279
SAS,2010,1294.02742131622,67.3525068406787,50.8,42.9875789328061,38.7717728976102,21.6150994486448
SAS,2011,1397.0068242448,67.8108394834024,49.0,46.3723319841827,,21.1197385497421
SAS,2012,1387.18205938261,68.2629615309516,47.1,46.6152634556105,,20.6605877266549
SAS,2013,1405.85695515339,68.6853288301062,45.2,53.3691511888425,,20.1126540518824
SAS,2014,1528.49038355087,69.1208563538772,43.4,54.5770272304796,,19.2380183836357
SAS,2015,1570.54142462917,69.5110334122263,41.6,56.7417052203767,32.1859767340141,19.0886848943518
SAS,2016,1722.90703415144,69.9184707063298,39.7,58.8470714953936,,18.9201325540334
SAS,2017,1956.06707554186,70.2904723380061,38.1,56.5030872218436,,18.2256855005369
SAS,2018,1988.3663331799,70.6523573971364,36.5,57.6271200102098,,18.1475574115529
SAS,2019,2067.05975687637,70.9975623145981,35.1,60.8005548786456,,17.6684782271993
SAS,2020,1957.20343722686,70.3622206982499,33.7,63.8982524233205,26.9067719189484,17.1258043209131
SAS,2021,2273.72055798689,67.8215299767513,32.5,75.0718153271172,26.0418939429683,16.8988487191844
SAS,2022,2385.08341578414,72.0115731308447,31.3,79.0444496715748,25.1487267996836,16.7759229680836
SAS,2023,2532.37560051691,72.3247648783903,30.2,,,16.5680998096111
SAU,1990,11054.7495049666,68.874,40.5,,,37.967
SAU,1991,11847.1699534218,69.341,37.5,,,36.709
SAU,1992,11730.2687665244,69.799,34.7,,,35.514
SAU,1993,10884.8607880777,70.208,32.2,,,34.467
SAU,1994,10601.9196697805,70.587,29.9,,,33.417
SAU,1995,10786.4008952769,70.944,27.8,,,32.308
SAU,1996,11471.5045960191,71.288,25.9,,,31.223
SAU,1997,11545.3455998551,71.624,24.2,,,30.276
SAU,1998,9836.05729768574,71.957,22.6,,,29.509
SAU,1999,10452.1899400479,72.29,21.2,,,28.542
SAU,2000,11714.5623675159,72.607,19.9,493.36984253,14.2,27.49
SAU,2001,10805.311325122,72.951,18.7,482.10446167,,25.528
SAU,2002,10586.0543471363,73.296,17.6,449.84130859,,23.767
SAU,2003,11487.220410693,73.657,16.5,457.08770752,,22.302
SAU,2004,13154.4978989446,74.027,15.5,471.45797729,,21.274
SAU,2005,15975.7473782258,74.4,14.6,545.73571777,14.3,21.062
SAU,2006,17563.6145370639,74.762,13.7,634.81872559,,21.35
SAU,2007,18596.1502627898,75.066,12.8,662.00793457,14.3,21.73
SAU,2008,22320.4888964331,75.301,12.0,663.14331055,,21.314
SAU,2009,17718.3911648365,75.447,11.2,760.19476318,,20.802
SAU,2010,22028.3901426586,75.616,10.4,765.91680908,14.3,20.127
SAU,2011,27126.7498747702,75.808,9.7,954.38873291,,20.324
SAU,2012,28733.4375513452,76.09,9.1,1093.15588379,,20.387
SAU,2013,27865.465604962,76.517,8.5,1189.67932129,,19.712
SAU,2014,27805.4850319422,77.116,7.9,1363.59155273,,19.822
SAU,2015,23256.1549553531,77.776,7.4,1309.27148438,14.4,19.405
SAU,2016,22267.7217050387,78.354,6.9,1353.21813965,,19.553
SAU,2017,23929.2907135982,78.721,6.5,1400.90356445,,19.824
SAU,2018,29360.0658968566,78.75,6.1,1488.9753418,,19.739
SAU,2019,29566.7933827436,78.313,5.8,1504.55249023,,18.075
SAU,2020,24338.8307301067,77.596,5.5,1574.70068359,14.8,16.628
SAU,2021,31920.7653655643,77.089,5.3,1654.74353027,14.8,15.902
SAU,2022,38510.2276211037,77.31,5.1,1593.37145996,14.9,15.217
SAU,2023,36156.848337701,78.732,4.9,,,16.415
