country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
IDX,,,,,,,,,,,36.2665123726167,,,,,31.0004952908261,,29.0253019852427,,,26.3192320462778,,,,,22.5769155466257,,,,,19.4251617429709,18.9130519557422,18.358802000578,
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,,,,,,,,,,,55.8,,,,,46.6,,43.1,,,38.3,,,,,31.5,,,,,26.1,25.2,24.3,
INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,,,,,,,,,,35.7,,,,,30.9,,29.2,,,26.8,,,,,23.4,,,,,20.4,19.8,19.3,
IRN,,,,,,,,,,,22.0,,,,,19.5,,18.6,,,17.3,,,,,15.5,,,,,13.9,13.6,13.3,
IRQ,,,,,,,,,,,22.3,,,,,20.9,,20.6,,,20.1,,,,,19.5,,,,,19.2,19.3,19.2,
ISL,,,,,,,,,,,32.2,,,,,24.2,,21.7,,,18.3,,,,,13.8,,,,,10.5,9.9,9.4,
ISR,,,,,,,,,,,31.2,,,,,28.2,,27.1,,,25.7,,,,,23.2,,,,,21.2,20.7,20.4,
ITA,,,,,,,,,,,26.1,,,,,25.2,,24.8,,,24.4,,,,,23.5,,,,,22.7,22.6,22.4,
JAM,,,,,,,,,,,17.1,,,,,14.9,,14.1,,,13.0,,,,,11.5,,,,,10.1,9.9,9.7,
JOR,,,,,,,,,,,31.5,,,,,32.3,,32.6,,,33.1,,,,,34.1,,,,,35.1,35.3,35.6,
JPN,,,,,,,,,,,33.6,,,,,29.4,,27.9,,,25.9,,,,,22.8,,,,,20.2,19.6,19.2,
KAZ,,,,,,,,,,,35.1,,,,,31.6,,30.2,,,28.4,,,,,25.7,,,,,23.1,22.7,22.2,
KEN,,,,,,,,,,,19.5,,,,,16.9,,15.9,,,14.7,,,,,12.8,,,,,11.3,11.0,10.7,
KGZ,,,,,,,,,,,30.9,,,,,29.6,,29.3,,,28.7,,,,,28.0,,,,,27.5,27.4,27.3,
KHM,,,,,,,,,,,42.0,,,,,34.4,,31.5,,,28.0,,,,,22.7,,,,,18.6,18.0,17.2,
KIR,,,,,,,,,,,68.0,,,,,60.5,,57.4,,,53.4,,,,,47.1,,,,,41.6,40.7,39.7,
KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,35.2,,,,,30.9,,29.4,,,27.0,,,,,23.8,,,,,21.0,20.5,20.0,
KWT,,,,,,,,,,,21.1,,,,,20.5,,20.3,,,20.1,,,,,19.9,,,,,19.9,19.9,19.9,
LAC,,,,,,,,,,,24.1315299009722,,,,,20.6418575211075,,19.4309191573709,,,17.8286299547509,,,,,15.4867650134367,,,,,13.5904094471966,13.230219286636,12.9213537649085,
